bin_id;n_rec;n_super_kmers;size;2nd stage MEM;n_singatures
100;339;339;2560;14336;339
99;339;339;2560;14336;339
98;339;339;2560;14336;339
97;339;339;2560;14336;339
96;339;339;2560;14336;339
94;339;339;2560;14336;339
88;340;340;2560;14336;340
90;339;339;2560;14336;339
91;339;339;2560;14336;339
93;339;339;2560;14336;339
95;339;339;2560;14336;339
92;339;339;2560;14336;339
101;252;252;1792;12544;339
419;0;0;0;8448;292
291;0;0;0;8448;319
483;0;0;0;8448;260
387;0;0;0;8448;301
259;0;0;0;8448;323
451;0;0;0;8448;280
195;0;0;0;8448;330
307;0;0;0;8448;316
211;0;0;0;8448;329
323;0;0;0;8448;314
371;0;0;0;8448;305
243;0;0;0;8448;325
403;0;0;0;8448;297
179;0;0;0;8448;332
435;0;0;0;8448;287
275;0;0;0;8448;321
467;0;0;0;8448;272
147;0;0;0;8448;335
499;0;0;0;8448;239
203;0;0;0;8448;329
315;0;0;0;8448;315
155;0;0;0;8448;334
331;0;0;0;8448;312
219;0;0;0;8448;328
339;0;0;0;8448;311
363;0;0;0;8448;307
235;0;0;0;8448;326
379;0;0;0;8448;303
171;0;0;0;8448;333
395;0;0;0;8448;299
251;0;0;0;8448;324
411;0;0;0;8448;295
139;0;0;0;8448;336
427;0;0;0;8448;290
267;0;0;0;8448;322
443;0;0;0;8448;284
187;0;0;0;8448;331
459;0;0;0;8448;276
283;0;0;0;8448;320
475;0;0;0;8448;267
123;0;0;0;8448;337
491;0;0;0;8448;251
299;0;0;0;8448;318
507;0;0;0;8448;212
151;0;0;0;8448;335
311;0;0;0;8448;316
207;0;0;0;8448;329
319;0;0;0;8448;314
127;0;0;0;8448;337
327;0;0;0;8448;313
215;0;0;0;8448;328
335;0;0;0;8448;312
159;0;0;0;8448;334
343;0;0;0;8448;310
223;0;0;0;8448;327
347;0;0;0;8448;310
359;0;0;0;8448;307
231;0;0;0;8448;326
367;0;0;0;8448;306
167;0;0;0;8448;333
375;0;0;0;8448;304
239;0;0;0;8448;325
383;0;0;0;8448;302
135;0;0;0;8448;336
391;0;0;0;8448;300
247;0;0;0;8448;325
399;0;0;0;8448;298
175;0;0;0;8448;332
407;0;0;0;8448;296
255;0;0;0;8448;324
415;0;0;0;8448;294
119;0;0;0;8448;337
423;0;0;0;8448;291
263;0;0;0;8448;323
431;0;0;0;8448;288
183;0;0;0;8448;332
439;0;0;0;8448;285
271;0;0;0;8448;321
447;0;0;0;8448;282
143;0;0;0;8448;335
455;0;0;0;8448;278
279;0;0;0;8448;320
463;0;0;0;8448;274
191;0;0;0;8448;331
471;0;0;0;8448;269
287;0;0;0;8448;319
479;0;0;0;8448;263
111;0;0;0;8448;338
487;0;0;0;8448;256
295;0;0;0;8448;318
495;0;0;0;8448;246
199;0;0;0;8448;330
503;0;0;0;8448;229
303;0;0;0;8448;317
510;0;0;0;8448;161
125;0;0;0;8448;337
309;0;0;0;8448;316
205;0;0;0;8448;329
313;0;0;0;8448;315
153;0;0;0;8448;334
317;0;0;0;8448;315
209;0;0;0;8448;329
321;0;0;0;8448;314
113;0;0;0;8448;338
325;0;0;0;8448;313
213;0;0;0;8448;328
329;0;0;0;8448;313
157;0;0;0;8448;334
333;0;0;0;8448;312
217;0;0;0;8448;328
337;0;0;0;8448;311
129;0;0;0;8448;337
341;0;0;0;8448;311
221;0;0;0;8448;328
345;0;0;0;8448;310
161;0;0;0;8448;334
349;0;0;0;8448;309
225;0;0;0;8448;327
351;0;0;0;8448;309
357;0;0;0;8448;308
229;0;0;0;8448;327
361;0;0;0;8448;307
165;0;0;0;8448;333
365;0;0;0;8448;306
233;0;0;0;8448;326
369;0;0;0;8448;305
133;0;0;0;8448;336
373;0;0;0;8448;304
237;0;0;0;8448;326
377;0;0;0;8448;304
169;0;0;0;8448;333
381;0;0;0;8448;303
241;0;0;0;8448;325
385;0;0;0;8448;302
117;0;0;0;8448;338
389;0;0;0;8448;301
245;0;0;0;8448;325
393;0;0;0;8448;300
173;0;0;0;8448;333
397;0;0;0;8448;299
249;0;0;0;8448;324
401;0;0;0;8448;298
137;0;0;0;8448;336
405;0;0;0;8448;297
253;0;0;0;8448;324
409;0;0;0;8448;295
177;0;0;0;8448;332
413;0;0;0;8448;294
257;0;0;0;8448;323
417;0;0;0;8448;293
109;0;0;0;8448;338
421;0;0;0;8448;292
261;0;0;0;8448;323
425;0;0;0;8448;291
181;0;0;0;8448;332
429;0;0;0;8448;289
265;0;0;0;8448;322
433;0;0;0;8448;288
141;0;0;0;8448;336
437;0;0;0;8448;286
269;0;0;0;8448;322
441;0;0;0;8448;285
185;0;0;0;8448;331
445;0;0;0;8448;283
273;0;0;0;8448;321
449;0;0;0;8448;281
121;0;0;0;8448;337
453;0;0;0;8448;279
277;0;0;0;8448;321
457;0;0;0;8448;277
189;0;0;0;8448;331
461;0;0;0;8448;275
281;0;0;0;8448;320
465;0;0;0;8448;273
145;0;0;0;8448;335
469;0;0;0;8448;271
285;0;0;0;8448;320
473;0;0;0;8448;268
193;0;0;0;8448;331
477;0;0;0;8448;265
289;0;0;0;8448;319
481;0;0;0;8448;262
105;0;0;0;8448;339
485;0;0;0;8448;258
293;0;0;0;8448;318
489;0;0;0;8448;254
197;0;0;0;8448;330
493;0;0;0;8448;249
297;0;0;0;8448;318
497;0;0;0;8448;242
